Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-March-2019,1990.00,2005.95,1982.50,1991.65,1993.502828250015889045,141607,8958,282293955.00,35422,25.01,23.45,1.65
28-February-2019,2065.00,2070.00,1977.85,1984.25,2006.622048623786230561,342425,13887,687117555.00,119804,34.99,92.15,-80.75
27-February-2019,2037.00,2070.00,2020.85,2053.75,2048.690048163082437275,142848,7002,292651276.00,20605,14.42,49.15,16.75
26-February-2019,1977.00,2038.65,1969.90,2032.35,2018.176349188068639871,217075,8576,438095631.00,46050,21.21,68.75,55.35
25-February-2019,1927.15,1990.00,1927.15,1985.00,1963.844451926314270597,124746,6033,244981740.00,30710,24.62,62.85,57.85
22-February-2019,1920.00,1930.50,1905.00,1925.90,1920.631755801903087020,63686,2703,122317354.00,13712,21.53,25.50,5.90
21-February-2019,1924.00,1939.80,1898.65,1912.25,1922.570809132785900260,199720,6301,383975842.00,49271,24.67,41.15,-11.75
20-February-2019,1913.95,1933.80,1882.00,1914.45,1908.912035028683789098,246655,8171,470842698.00,83147,33.71,51.80,0.50
19-February-2019,1971.75,1971.75,1895.00,1904.85,1927.497035196208749927,173030,7153,333514812.00,46777,27.03,76.75,-66.90
18-February-2019,2035.00,2044.10,1965.60,1971.75,1984.079585610288296290,103574,4610,205499059.00,41347,39.92,78.50,-63.25
15-February-2019,2045.00,2052.00,2013.00,2030.90,2031.946566967104885469,69676,3141,141577909.00,13632,19.56,39.00,-14.10
14-February-2019,2064.00,2075.00,2033.15,2044.65,2050.896464772557047985,40054,2346,82146607.00,10172,25.40,41.85,-19.35
13-February-2019,2057.00,2082.75,2050.65,2068.60,2064.237878067338786380,210280,4392,434067941.00,143997,68.48,32.10,11.60
12-February-2019,2070.00,2077.00,2020.35,2050.65,2043.344264899459852026,88124,4670,180067670.00,21701,24.63,56.65,-19.35
11-February-2019,2062.00,2093.45,2051.05,2065.55,2075.801794988870498259,70084,3357,145480493.00,14551,20.76,42.40,3.55
8-February-2019,2078.00,2088.25,2054.00,2062.75,2082.531059814186525895,856235,2882,1783135982.00,790434,92.32,34.25,-15.25
7-February-2019,2079.40,2097.80,2069.50,2079.90,2083.329489881956155143,94880,3867,197666302.00,36271,38.23,28.30,0.50
6-February-2019,2052.00,2086.00,2040.40,2077.85,2066.175199499912709988,355138,3807,733777328.00,290618,81.83,45.60,25.85
5-February-2019,2049.00,2054.75,2028.05,2044.35,2042.753815723023399360,71284,2876,145615663.00,19421,27.24,26.70,-4.65
4-February-2019,2030.00,2051.00,2018.30,2047.15,2039.087714400165086609,82381,3148,167982085.00,22564,27.39,32.70,17.15
1-February-2019,2005.00,2035.00,1998.30,2030.75,2022.407971613798255209,112449,4549,227417754.00,22975,20.43,36.70,25.75
31-January-2019,1988.00,2019.50,1985.05,2014.60,2006.351348752884298428,145616,10664,292156858.00,61344,42.13,34.45,26.60
30-January-2019,1983.15,1983.95,1955.10,1977.85,1973.345461277624040222,102628,4634,202520498.00,30755,29.97,28.85,-5.30
29-January-2019,1956.00,1989.80,1937.30,1983.15,1962.169099517106102739,126943,5389,249083632.00,37245,29.34,52.50,27.15
28-January-2019,1931.70,1958.00,1929.55,1951.95,1947.373621057365376360,146761,6046,285798500.00,45972,31.32,28.45,20.25
25-January-2019,1904.40,1933.45,1900.75,1919.05,1920.732394366197183098,97696,4731,187647872.00,23765,24.33,32.70,14.65
24-January-2019,1882.00,1904.50,1876.00,1901.75,1894.631652610802081464,83595,3268,158381733.00,33937,40.60,28.50,19.75
23-January-2019,1900.00,1907.70,1874.00,1879.75,1883.719963460704774880,64588,3027,121665705.00,16349,25.31,33.70,-20.25
22-January-2019,1908.00,1918.20,1890.70,1900.35,1903.310715787506424333,85612,3839,162946237.00,27666,32.32,27.50,-7.65
21-January-2019,1900.40,1931.30,1896.55,1905.80,1917.108413085803603257,145868,5952,279644770.00,45795,31.39,34.75,5.40
18-January-2019,1887.00,1904.45,1877.30,1900.40,1891.420583522057557577,75507,3592,142815494.00,26786,35.47,27.15,13.40
17-January-2019,1871.00,1899.00,1871.00,1895.10,1887.927145607457695815,138166,6277,260847342.00,51023,36.93,28.00,24.10
16-January-2019,1869.95,1874.80,1848.55,1870.10,1862.815080942913944902,105630,4274,196769157.00,21307,20.17,26.25,0.15
15-January-2019,1813.55,1868.00,1809.55,1864.20,1847.757645196464252306,180669,8717,333832526.00,47074,26.06,58.45,50.65
14-January-2019,1854.70,1854.85,1810.50,1814.40,1818.437301493941889189,170020,10538,309170710.00,67588,39.75,44.35,-40.30
11-January-2019,1875.00,1876.05,1836.10,1841.95,1848.478111908275242117,530631,26351,980859789.00,142980,26.95,39.95,-33.05
10-January-2019,1904.00,1906.80,1874.10,1888.15,1893.425220090257634132,157549,8638,298307250.00,35172,22.32,32.70,-15.85
9-January-2019,1915.00,1919.00,1869.05,1887.80,1895.874439290203610237,156721,5261,297123338.00,38750,24.73,49.95,-27.20
8-January-2019,1902.00,1908.00,1884.00,1893.05,1892.601306802713036067,84481,3571,159888851.00,20820,24.64,24.00,-8.95
7-January-2019,1891.10,1909.00,1880.25,1896.65,1894.040438164402682391,98867,4087,187258096.00,31343,31.70,28.75,5.55
4-January-2019,1901.00,1901.05,1841.50,1873.95,1867.710848705267127279,320877,12058,599305454.00,77748,24.23,59.55,-27.05
3-January-2019,1913.50,1944.00,1891.70,1896.45,1914.159652427460036898,155018,5675,296729201.00,47656,30.74,52.30,-17.05
2-January-2019,1907.90,1933.00,1900.55,1923.15,1921.302491692061609740,145042,5128,278669556.00,31796,21.92,32.45,15.25
1-January-2019,1905.00,1909.00,1885.10,1902.35,1899.900673877734388499,144685,2800,274887129.00,90664,62.66,23.90,-2.65
31-December-2018,1901.00,1910.15,1887.00,1893.55,1896.066149864146181284,155314,3751,294485618.00,84242,54.24,23.15,-7.45
28-December-2018,1909.45,1921.00,1893.75,1895.80,1905.536998620751522219,178358,4109,339867768.00,100966,56.61,27.25,-13.65
27-December-2018,1909.90,1940.10,1892.35,1909.45,1920.165190756559915597,146915,6049,282101069.00,28258,19.23,47.75,-0.45
26-December-2018,1916.00,1917.95,1872.00,1889.50,1885.072502368482205101,111886,5684,210913222.00,30375,27.15,45.95,-26.50
24-December-2018,1901.00,1938.00,1901.00,1915.55,1923.141309926337398864,132496,4233,254808531.00,35320,26.66,37.00,14.55
21-December-2018,1949.90,1950.00,1890.00,1897.25,1921.229368098562530233,167447,7099,321704094.00,54208,32.37,60.00,-52.65
20-December-2018,1965.00,1975.45,1947.00,1956.35,1954.825649751396433776,143401,3386,280323953.00,78641,54.84,28.45,-8.65
19-December-2018,1985.00,1985.00,1960.00,1967.20,1969.177939325021321528,123115,3852,242435342.00,40336,32.76,25.00,-17.80
18-December-2018,1999.50,2001.95,1975.10,1987.70,1987.341805766312594840,76444,3404,151920357.00,21426,28.03,26.85,-11.80
17-December-2018,1990.15,2003.00,1985.50,1993.25,1994.529479970774166904,62958,2174,125571587.00,21253,33.76,17.50,3.10
14-December-2018,1995.00,1995.00,1975.65,1989.25,1986.250407819698017670,76627,2947,152200410.00,10648,13.90,19.35,-5.75
13-December-2018,2020.00,2028.40,1975.00,1983.65,1995.719465115688415919,157492,11569,314309850.00,49481,31.42,53.40,-36.35
12-December-2018,1998.35,2022.05,1987.10,2018.70,2008.896738245602008551,466804,3734,937761033.00,17300,3.71,34.95,20.35
11-December-2018,1973.50,2009.70,1961.15,1998.35,1990.198673855729775804,100894,5732,200799105.00,16286,16.14,48.55,24.85
10-December-2018,1979.00,2009.90,1962.05,1974.90,1987.615953355407934516,97246,4695,193287701.00,17835,18.34,47.85,-4.10
7-December-2018,1991.75,2003.85,1975.00,1995.95,1991.081586619912532997,101524,4092,202142567.00,24376,24.01,28.85,4.20
6-December-2018,2000.00,2017.95,1981.25,1991.75,1998.688788047279966997,111506,4566,222865792.00,21605,19.38,36.70,-8.25
5-December-2018,2009.40,2017.50,1985.00,2006.10,2002.995616742325392422,127987,5330,256357400.00,37278,29.13,32.50,-3.30
4-December-2018,1983.00,2019.30,1971.50,2009.40,2004.021654717417501491,164306,6462,329272782.00,32561,19.82,47.80,26.40
3-December-2018,1980.10,1990.00,1969.05,1982.20,1979.263621991441109929,73374,3982,145226489.00,17527,23.89,20.95,2.10
30-November-2018,1960.25,1989.40,1960.25,1970.60,1977.038453261253195830,116167,4274,229666626.00,19577,16.85,29.15,10.35
29-November-2018,2000.00,2000.00,1943.65,1959.45,1964.335168331789796097,193279,7566,379664737.00,27006,13.97,56.35,-40.55
28-November-2018,1897.00,1982.15,1883.90,1976.55,1953.215822175436794741,778970,11370,1521496529.00,569016,73.05,98.25,79.55
27-November-2018,1865.00,1893.50,1834.60,1888.35,1866.957233911841499001,130220,6646,243115171.00,30691,23.57,58.90,23.35
26-November-2018,1822.90,1859.50,1787.00,1846.10,1821.437863194006861303,171396,8329,312187164.00,36729,21.43,72.50,23.20
22-November-2018,1822.45,1847.10,1810.40,1815.25,1830.475786456648974958,157701,5963,288667862.00,27418,17.39,36.70,-7.20
21-November-2018,1873.00,1873.05,1802.00,1811.75,1816.058337532822321831,452436,12312,821650170.00,279324,61.74,71.05,-61.25
